date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:34	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2016%20Jun%202014%2000:41:34%20GMT	http://weather.edition.cnn.com/robots.txt		(from )
09:41:36	67168/67168	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:41:33%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecastee4c.html	(from )
09:41:38	110376/110376	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Apr%202013%2014:35:18%20GMT	http://i.cdn.turner.com/cnn/.element/css/2.0/common.css	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/css/2.0/common.css	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:40	49635/49635	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Apr%202010%2021:16:55%20GMT	http://i.cdn.turner.com/cnn/.element/css/3.0/weather.css	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/css/3.0/weather.css	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:42	27454/27454	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Jun%202014%2017:23:25%20GMT	http://i.cdn.turner.com/cnn/.element/css/3.0/connect/overlay.css	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/css/3.0/connect/overlay.css	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:45	151386/151386	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2023%20Oct%202009%2020:10:29%20GMT	http://i.cdn.turner.com/cnn/.element/js/3.0/protoaculous.1.8.2.min.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/js/3.0/protoaculous.1.8.2.min.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:48	77979/77979	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Nov%202012%2019:54:45%20GMT	http://i.cdn.turner.com/cnn/.element/js/3.0/main.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/js/3.0/main.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:48	20260/20260	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2012%20Apr%202010%2015:15:50%20GMT	http://i.cdn.turner.com/cnn/.element/js/3.0/weather.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/js/3.0/weather.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:49	19386/19386	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2023%20Oct%202009%2020:10:28%20GMT	http://i.cdn.turner.com/cnn/.element/js/3.0/csiManager.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/js/3.0/csiManager.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:52	180756/180756	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2005%20Jun%202014%2020:11:23%20GMT	http://i.cdn.turner.com/cnn/.element/js/3.0/connect/connect-lite.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/js/3.0/connect/connect-lite.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
